split,date,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,pc12,pc13,pc14,pc15,pc16,pca_regime,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,ae_regime
train,1988-10-09,8.526722,18.782879,-5.3301425,-4.8134127,1.5307846,2.2376475,7.574714,1.3086983,10.398403,-0.7722709,1.4431865,2.2173514,0.1270254,-0.87647474,1.6768901,-0.28858033,2,6.0437646,7.639938,-0.37053502,13.8347025,-1.8762418,1.8895569,4.968482,-5.2407565,6.874295,-5.364298,6.2352715,-3.4339943,1.2113385,10.254035,-3.4083664,-2.606223,2
train,1988-10-16,8.836357,18.847668,-5.364745,-4.8612456,1.325527,2.170406,7.468009,1.1217692,10.359804,-0.46920297,1.2115142,2.1828952,-0.2447594,1.4100617,0.93565637,1.1405187,2,5.932869,7.7174783,-0.20278949,13.82258,-1.9109373,2.0058465,5.3667946,-5.0667143,6.498788,-5.1892505,6.2074323,-3.3479471,1.123991,10.165519,-3.6295123,-2.7804081,2
train,1988-10-23,9.07919,18.914093,-5.3312106,-4.897976,1.1985022,1.9816549,7.4023147,0.950848,10.305503,-0.20322944,0.9392787,2.122448,0.05383593,-0.13568845,1.262673,-0.54405993,2,5.9401674,7.6752663,-0.07582496,14.076694,-2.0220857,2.3073127,5.643869,-5.1084046,6.5440164,-5.110873,5.9453855,-3.5029666,1.4464345,10.179391,-4.1202497,-2.8216398,2
train,1988-10-30,9.320683,18.990181,-5.28921,-4.9603887,1.054756,1.8785449,7.315235,0.83708996,10.238537,-0.022687722,0.733423,2.0556798,0.23742121,0.5725354,0.8266681,-0.0053263665,2,6.356691,7.673082,0.09653205,14.388492,-2.1481738,2.0162873,5.6530833,-5.080403,6.678803,-5.3651767,6.224537,-3.3878398,1.5230325,10.289906,-4.150248,-3.18618,2
train,1988-11-06,9.555619,19.056633,-5.26526,-4.9863577,0.90498054,1.7792859,7.257744,0.61611354,10.196834,0.21269293,0.4880922,1.8269618,-0.30936357,-0.4798509,0.5497582,0.94695985,2,6.3361325,7.800019,0.2295649,14.187778,-2.1711378,1.7408441,5.7093,-4.96,6.2718487,-5.2048254,6.4951305,-3.1202893,1.2145965,10.213797,-4.0235777,-3.256475,2
train,1988-11-13,9.748156,19.182537,-5.143583,-5.036787,0.8156042,1.7816145,7.2065682,0.38853407,10.026913,0.34906033,0.38407406,1.4942839,0.2742442,0.5152384,-0.08950083,-1.426622,2,6.328939,7.663469,0.11855525,14.1305895,-2.1535535,1.8279846,5.5350695,-4.902862,6.4382567,-5.258438,6.2767906,-3.3129606,1.3565627,10.186055,-3.9082813,-3.1549048,2
train,1988-11-20,10.068845,19.265047,-5.145874,-5.058442,0.6152308,1.6529435,7.0563517,0.29141387,9.889761,0.5816927,0.26138294,1.6172296,-0.33349296,-0.38990125,-0.8285383,-0.3589218,2,6.638144,7.557436,0.27306563,14.487688,-2.3058374,1.856151,5.544072,-4.965699,6.6739664,-5.425402,6.2179756,-3.398911,1.6668129,10.257214,-4.1806045,-3.3344479,2
train,1988-11-27,10.350289,19.377026,-5.1146283,-5.0551496,0.4821194,1.4438467,7.0653358,0.066330075,9.870834,1.1243896,0.096474834,1.615438,-0.20771433,-0.09828373,-1.5521176,0.7043923,2,7.091872,7.543671,0.5767355,14.808874,-2.4968104,1.5899674,5.687382,-4.7962074,6.6825366,-5.591919,6.5330076,-3.2333665,1.7102597,10.3707695,-4.180209,-3.7930765,2
train,1988-12-04,10.661421,19.52913,-5.0363693,-5.0638385,0.33460388,1.3899995,7.089165,-0.07777786,9.816027,1.4132736,0.05236593,1.3865926,0.07681343,-0.15720516,-1.6810112,-2.851301,2,7.159692,7.4983,0.7093573,14.797374,-2.495511,1.3146546,5.626974,-4.899394,6.57617,-5.6100335,6.764098,-2.9590034,1.6263669,10.270877,-4.2184987,-3.8751023,2
train,1988-12-11,10.949742,19.687613,-4.9372883,-5.059175,0.24343982,1.250557,7.115219,-0.22663748,9.714117,1.6577332,-0.020317972,1.2527934,-0.121480584,-0.6458423,-2.0140004,1.0748416,2,7.338711,7.5216284,0.82113403,14.975823,-2.5898387,1.2197119,5.6598744,-4.8825426,6.5838637,-5.716601,6.841288,-2.9709933,1.6763653,10.294836,-4.2887483,-4.0335813,2
